topology,algorithm,link sec ratio,num of calls,load,round,block_rate(t),block_rate(0),block_rate(1),block_rate(2),hop,link utilization,overused bw,security deviation (t),security deviation (0),security deviation (1),security deviation (2),exposure ratio(t),exposure ratio(0),exposure ratio(1),exposure ratio(2)
6N8L,MER,   0.400, 10000.000,   20.000,    1.000,    0.000,    0.000,    0.000,    0.000,    2.343,    6.016, 56300.000,    0.373,    0.556,    0.500,    0.000,   23.240,   57.440,    0.000,    0.000
6N8L,MER,   0.400, 10000.000,   20.000,    2.000,    0.000,    0.000,    0.000,    0.000,    2.311,    5.931, 44700.000,    0.367,    0.545,    0.500,    0.000,   27.812,   69.968,    0.000,    0.000
6N8L,MER,   0.400, 10000.000,   20.000,    3.000,   22.120,    0.000,    0.000,   22.120,    1.584,    4.905,    0.000,    0.191,    0.000,    0.500,    0.000,   62.861,  100.000,   29.530,    0.000
6N8L,MER,   0.400, 10000.000,   20.000,    4.000,   28.070,    0.000,    0.000,   28.070,    1.789,    5.375,    0.000,    0.209,    0.000,    0.500,    0.000,   84.126,  100.000,   69.803,    0.000
6N8L,MER,   0.400, 10000.000,   20.000,    5.000,    9.910,    0.000,    0.000,    9.910,    2.008,    5.549, 13110.000,    0.254,    0.197,    0.500,    0.000,   42.622,   90.579,    7.818,    0.000
6N8L,MER,   0.400, 10000.000,   20.000,    6.000,    9.960,    0.000,    0.000,    9.960,    2.006,    5.314, 21590.000,    0.304,    0.300,    0.500,    0.000,   42.080,   87.954,    7.225,    0.000
6N8L,MER,   0.400, 10000.000,   20.000,    7.000,   21.970,    0.000,    0.000,   21.970,    1.591,    4.487,    0.000,    0.194,    0.000,    0.500,    0.000,   62.053,  100.000,   29.420,    0.000
6N8L,MER,   0.400, 10000.000,   20.000,    8.000,    0.000,    0.000,    0.000,    0.000,    2.520,    6.584, 44380.000,    0.333,    0.460,    0.500,    0.000,   27.570,   70.529,    0.000,    0.000
6N8L,MER,   0.400, 10000.000,   20.000,    9.000,   28.760,    0.000,    0.000,   28.760,    2.211,    6.420,    0.000,    0.209,    0.000,    0.500,    0.000,   81.887,  100.000,   62.934,    0.000
6N8L,MER,   0.400, 10000.000,   20.000,   10.000,   30.270,    0.000,    0.000,   30.270,    2.003,    5.822,    0.000,    0.212,    0.000,    0.500,      nan,  100.000,  100.000,  100.000,      nan
6N8L,MER,   0.400, 10000.000,   20.000,   11.000,    9.710,    0.000,    0.000,    9.710,    2.035,    5.426, 21460.000,    0.304,    0.305,    0.500,    0.000,   41.144,   87.775,    7.506,    0.000
6N8L,MER,   0.400, 10000.000,   20.000,   12.000,   24.270,    0.000,    0.000,   24.270,    1.736,    5.033,    0.000,    0.195,    0.000,    0.500,    0.000,   69.384,  100.000,   42.091,    0.000
6N8L,MER,   0.400, 10000.000,   20.000,   13.000,   27.850,    0.000,    0.000,   27.850,    1.815,    5.439,    0.000,    0.205,    0.000,    0.500,    0.000,   85.017,  100.000,   70.478,    0.000
6N8L,MER,   0.400, 10000.000,   20.000,   14.000,    0.000,    0.000,    0.000,    0.000,    2.335,    5.842, 65370.000,    0.404,    0.636,    0.500,    0.000,   22.132,   56.173,    0.000,    0.000
6N8L,MER,   0.400, 10000.000,   20.000,   15.000,   28.210,    0.000,    0.000,   28.210,    2.210,    6.333,    0.000,    0.213,    0.000,    0.500,    0.000,   81.191,  100.000,   63.094,    0.000
6N8L,MER,   0.400, 10000.000,   20.000,   16.000,   24.360,    0.000,    0.000,   24.360,    1.696,    4.857,    0.000,    0.202,    0.000,    0.500,    0.000,   66.509,  100.000,   36.236,    0.000
6N8L,MER,   0.400, 10000.000,   20.000,   17.000,   24.110,    0.000,    0.000,   24.110,    1.729,    5.036,    0.000,    0.196,    0.000,    0.500,    0.000,   69.365,  100.000,   42.783,    0.000
6N8L,MER,   0.400, 10000.000,   20.000,   18.000,   17.860,    0.000,    0.000,   17.860,    2.069,    5.586, 24210.000,    0.327,    0.297,    0.500,    0.000,   50.242,   88.702,   18.791,    0.000
6N8L,MER,   0.400, 10000.000,   20.000,   19.000,   23.710,    0.000,    0.000,   23.710,    1.576,    4.357,    0.000,    0.193,    0.000,    0.500,    0.000,   58.703,  100.000,   19.736,    0.000
6N8L,MER,   0.400, 10000.000,   20.000,   21.000,   27.940,    0.000,    0.000,   27.940,    1.740,    5.038,    0.000,    0.193,    0.000,    0.500,    0.000,   68.029,  100.000,   36.992,    0.000
6N8L,MER,   0.400, 10000.000,   20.000,   20.000,   22.360,    0.000,    0.000,   22.360,    1.798,    5.276,    0.000,    0.208,    0.000,    0.500,    0.000,   84.561,  100.000,   69.736,    0.000
6N8L,MER,   0.400, 10000.000,   20.000,   22.000,   18.180,    0.000,    0.000,   18.180,    2.084,    5.923, 20470.000,    0.306,    0.253,    0.500,    0.000,   50.918,   89.129,   21.042,    0.000

6N8L,MER,   0.400, 10000.000,   40.000,    1.000,    0.000,    0.000,    0.000,    0.000,    2.224,   10.902, 59110.000,    0.395,    0.619,    0.500,    0.000,   27.086,   67.028,    0.000,    0.000
6N8L,MER,   0.400, 10000.000,   40.000,    2.000,    0.000,    0.000,    0.000,    0.000,    2.662,   13.016, 50870.000,    0.362,    0.528,    0.500,    0.000,   26.634,   66.603,    0.000,    0.000
6N8L,MER,   0.400, 10000.000,   40.000,    3.000,    0.000,    0.000,    0.000,    0.000,    2.389,   11.555, 42320.000,    0.349,    0.496,    0.500,    0.000,   29.925,   76.145,    0.000,    0.000
6N8L,MER,   0.400, 10000.000,   40.000,    4.000,   25.110,    0.000,    0.000,   25.110,    1.973,   10.893,    0.000,    0.200,    0.000,    0.500,    0.000,   72.582,  100.000,   44.016,    0.000
6N8L,MER,   0.400, 10000.000,   40.000,    5.000,   27.690,    0.000,    0.000,   27.690,    2.257,   12.389,    0.000,    0.206,    0.000,    0.500,    0.000,   82.048,  100.000,   63.444,    0.000
6N8L,MER,   0.400, 10000.000,   40.000,    6.000,   10.230,    0.000,    0.000,   10.230,    2.260,   11.397, 41430.000,    0.365,    0.448,    0.500,    0.000,   37.796,   77.886,    8.219,    0.000
6N8L,MER,   0.400, 10000.000,   40.000,    7.000,   18.430,    0.000,    0.000,   18.430,    1.970,   11.267, 13240.000,    0.273,    0.191,    0.500,    0.000,   52.450,   90.933,   21.200,    0.000
6N8L,MER,   0.400, 10000.000,   40.000,    8.000,   24.630,    0.000,    0.000,   24.630,    1.687,    9.985,    0.000,    0.197,    0.000,    0.500,    0.000,   66.660,  100.000,   35.916,    0.000
6N8L,MER,   0.400, 10000.000,   40.000,    9.000,   25.940,    0.000,    0.000,   25.940,    1.916,   11.051,    0.000,    0.200,    0.000,    0.500,    0.000,   72.487,  100.000,   44.074,    0.000
6N8L,MER,   0.400, 10000.000,   40.000,   10.000,    9.580,    0.000,    0.000,    9.580,    2.148,   10.869, 37690.000,    0.363,    0.449,    0.500,    0.000,   37.581,   79.513,    7.065,    0.000
6N8L,MER,   0.400, 10000.000,   40.000,   11.000,   21.480,    0.000,    0.000,   21.480,    1.864,   10.231, 12870.000,    0.278,    0.161,    0.500,    0.000,   53.432,   91.240,   18.570,    0.000
6N8L,MER,   0.400, 10000.000,   40.000,   12.000,   10.680,    0.000,    0.000,   10.680,    1.982,   10.785, 13470.000,    0.258,    0.204,    0.500,    0.000,   42.439,   90.258,    7.618,    0.000
